Player,Squad,MP,Starts,Min,Gls,Ast,G+A,xG,xAG
Max Aarons,Bournemouth,20,13,1237,0,1,1,0.0,0.8
Brenden Aaronson,Union Berlin,30,14,1267,2,2,4,2.0,1.9
Paxten Aaronson,Eint Frankfurt,7,1,101,0,1,1,0.1,0.1
Keyliane Abdallah,Marseille,1,0,4,0,0,0,0.0,0.0
Yunis Abdelhamid,Reims,31,31,2781,4,0,4,3.4,0.3
Salis Abdul Samed,Lens,27,17,1519,0,0,0,0.8,0.5
Nabil Aberdin,Getafe,2,2,180,0,0,0,0.0,0.0
Laurent Abergel,Lorient,33,32,2860,2,1,3,1.1,2.2
Matthis Abline,Nantes,22,12,1044,5,0,5,3.8,2.0
Abner,Betis,23,15,1400,0,1,1,0.1,1.0
Zakaria Aboukhlal,Toulouse,13,9,754,3,0,3,2.8,0.2
Abdel Abqar,Alavés,27,27,2312,0,0,0,0.5,0.2
Tammy Abraham,Roma,8,2,242,1,0,1,0.6,0.1
Francesco Acerbi,Inter,29,26,2388,3,1,4,1.6,1.8
Joshua Acheampong,Chelsea,1,0,6,0,0,0,0.0,0.0
Marcos Acuña,Sevilla,21,18,1292,1,2,3,0.3,1.5
Bénie Adama Traore,Sheffield Utd,8,3,387,0,0,0,0.3,0.5
Bénie Adama Traore,Nantes,14,4,504,0,1,1,0.7,0.9
Akor Adams,Montpellier,32,27,2252,8,1,9,12.4,1.9
Tyler Adams,Bournemouth,3,1,121,0,0,0,0.0,0.1
Junior Adamu,Freiburg,15,0,105,0,0,0,0.1,0.1
Sargis Adamyan,Köln,20,8,801,1,2,3,4.1,2.0
Tosin Adarabioyo,Fulham,20,18,1617,2,0,2,0.7,0.1
Elijah Adebayo,Luton Town,27,16,1419,10,0,10,5.9,0.7
Karim Adeyemi,Dortmund,21,10,913,3,1,4,3.5,2.0
Simon Adingra,Brighton,31,25,2222,6,1,7,4.3,3.7
Nathaniel Adjei,Lorient,15,14,1243,0,0,0,0.4,0.1
Amine Adli,Leverkusen,23,8,898,4,6,10,3.3,2.3
Yacine Adli,Milan,24,17,1407,1,2,3,0.3,2.2
Adryelson,Lyon,2,0,6,0,0,0,0.0,0.0
Adson,Nantes,8,2,238,0,0,0,0.2,0.1
Michel Aebischer,Bologna,36,26,2230,0,1,1,1.1,1.5
Emmanuel Agbadou,Reims,32,29,2596,1,1,2,2.4,1.5
Julen Agirrezabala,Athletic Club,4,2,238,0,0,0,0.0,0.0
Lucien Agoume,Inter,1,0,5,0,0,0,0.0,0.0
Lucien Agoume,Sevilla,12,9,777,0,0,0,0.9,0.6
Felix Agu,Werder Bremen,24,19,1614,0,0,0,0.9,0.6
Nayef Aguerd,West Ham,21,21,1857,1,0,1,1.5,0.3
Ruben Aguilar,Lens,25,22,1922,1,3,4,1.4,2.9
Brandon Aguilera,Nott'ham Forest,1,0,5,0,0,0,0.0,0.0
Naouirou Ahamada,Crystal Palace,20,0,349,0,0,0,0.5,0.0
Anel Ahmedhodžić,Sheffield Utd,31,29,2649,2,0,2,3.1,0.8
Joseph Aidoo,Celta Vigo,6,4,407,0,0,0,0.1,0.1
Ola Aina,Nott'ham Forest,22,20,1692,1,1,2,0.3,0.9
Rayan Aït-Nouri,Wolves,33,29,2329,2,1,3,3.3,2.4
Tosin Aiyegun,Lorient,19,10,902,2,0,2,1.8,0.3
Kristoffer Ajer,Brentford,28,21,1832,2,1,3,1.3,2.3
Ludovic Ajorque,Mainz 05,26,15,1360,2,0,2,5.3,1.0
Manuel Akanji,Manchester City,30,28,2511,2,0,2,1.9,0.5
Marley Aké,Udinese,1,0,10,0,0,0,0.0,0.0
Nathan Aké,Manchester City,29,24,2042,2,2,4,2.5,1.2
Ilias Akhomach,Villarreal,31,17,1511,2,2,4,3.2,2.6
