Player,Nation,Age,Pos,Squad
Max Aarons,eng ENG,23.0,DF,Bournemouth
Brenden Aaronson,us USA,22.0,"MF,FW",Union Berlin
Paxten Aaronson,us USA,19.0,MF,Eint Frankfurt
Keyliane Abdallah,fr FRA,17.0,FW,Marseille
Yunis Abdelhamid,ma MAR,35.0,DF,Reims
Salis Abdul Samed,gh GHA,23.0,MF,Lens
Nabil Aberdin,fr FRA,20.0,DF,Getafe
Laurent Abergel,fr FRA,30.0,MF,Lorient
Matthis Abline,fr FRA,20.0,FW,Nantes
Abner,br BRA,23.0,DF,Betis
Zakaria Aboukhlal,ma MAR,23.0,"MF,FW",Toulouse
Abdel Abqar,ma MAR,24.0,DF,Alavés
Tammy Abraham,eng ENG,25.0,FW,Roma
Francesco Acerbi,it ITA,35.0,DF,Inter
Joshua Acheampong,eng ENG,17.0,DF,Chelsea
Marcos Acuña,ar ARG,31.0,DF,Sevilla
Bénie Adama Traore,ci CIV,20.0,"FW,MF",Sheffield Utd
Bénie Adama Traore,ci CIV,20.0,"FW,MF",Nantes
Akor Adams,ng NGA,23.0,FW,Montpellier
Tyler Adams,us USA,24.0,MF,Bournemouth
Junior Adamu,at AUT,22.0,"FW,MF",Freiburg
Sargis Adamyan,am ARM,30.0,"FW,MF",Köln
Tosin Adarabioyo,eng ENG,25.0,DF,Fulham
Elijah Adebayo,eng ENG,25.0,FW,Luton Town
Karim Adeyemi,de GER,21.0,"FW,MF",Dortmund
Simon Adingra,ci CIV,21.0,FW,Brighton
Nathaniel Adjei,gh GHA,20.0,DF,Lorient
Amine Adli,ma MAR,23.0,"MF,FW",Leverkusen
Yacine Adli,fr FRA,23.0,MF,Milan
Adryelson,br BRA,25.0,"DF,FW",Lyon
Adson,br BRA,22.0,"MF,FW",Nantes
Michel Aebischer,ch SUI,26.0,MF,Bologna
Emmanuel Agbadou,ci CIV,26.0,DF,Reims
Julen Agirrezabala,es ESP,22.0,GK,Athletic Club
Lucien Agoume,fr FRA,21.0,MF,Inter
Lucien Agoume,fr FRA,21.0,MF,Sevilla
Felix Agu,de GER,23.0,"DF,MF",Werder Bremen
Nayef Aguerd,ma MAR,27.0,DF,West Ham
Ruben Aguilar,fr FRA,30.0,DF,Lens
Brandon Aguilera,cr CRC,20.0,FW,Nott'ham Forest
Naouirou Ahamada,fr FRA,21.0,"MF,FW",Crystal Palace
Anel Ahmedhodžić,ba BIH,24.0,DF,Sheffield Utd
Joseph Aidoo,gh GHA,27.0,DF,Celta Vigo
Ola Aina,ng NGA,26.0,DF,Nott'ham Forest
Rayan Aït-Nouri,dz ALG,22.0,"DF,MF",Wolves
Tosin Aiyegun,bj BEN,25.0,"MF,FW",Lorient
Kristoffer Ajer,no NOR,25.0,DF,Brentford
Ludovic Ajorque,fr FRA,29.0,FW,Mainz 05
Manuel Akanji,ch SUI,28.0,"DF,MF",Manchester City
Marley Aké,fr FRA,22.0,FW,Udinese
Nathan Aké,nl NED,28.0,DF,Manchester City
Ilias Akhomach,ma MAR,19.0,"MF,FW",Villarreal
Sergio Akieme,es ESP,25.0,DF,Almería
Sergio Akieme,es ESP,25.0,DF,Reims
Ebenezer Akinsanmiro,ng NGA,18.0,MF,Inter
Maghnes Akliouche,fr FRA,21.0,"MF,FW",Monaco
Paul Akouokou,ci CIV,25.0,MF,Betis
Paul Akouokou,ci CIV,25.0,MF,Lyon
Jean-Daniel Akpa-Akpro,ci CIV,30.0,MF,Monza
David Akpan Ankeye,ng NGA,21.0,FW,Genoa
Kevin Akpoguma,ng NGA,28.0,DF,Hoffenheim
David Alaba,at AUT,31.0,DF,Real Madrid
Luis Alberto,es ESP,30.0,MF,Lazio
Raúl Albiol,es ESP,37.0,DF,Villarreal
Thiago Alcántara,es ESP,32.0,MF,Liverpool
Carlos Alcaraz,ar ARG,20.0,MF,Juventus
Rubén Alcaraz,es ESP,32.0,MF,Cádiz
Omar Alderete,py PAR,26.0,DF,Getafe
Iván Alejo,es ESP,28.0,MF,Cádiz
Carles Aleñá,es ESP,25.0,MF,Getafe
Trent Alexander-Arnold,eng ENG,24.0,DF,Liverpool
Aboubacar Ali,fr FRA,17.0,"MF,FW",Strasbourg
Mohamed Ali Cho,fr FRA,19.0,"FW,MF",Real Sociedad
Mohamed Ali Cho,fr FRA,19.0,FW,Nice
Faride Alidou,de GER,22.0,"FW,MF",Köln
Nabil Alioui,fr FRA,24.0,"MF,FW",Le Havre
Alisson,br BRA,30.0,GK,Liverpool
Tadeo Allende,ar ARG,24.0,"MF,FW",Celta Vigo
Jim Allevinah,ga GAB,28.0,"MF,DF",Clermont Foot
Domingos André Ribeiro Almeida,pt POR,23.0,"FW,MF",Valencia
Miguel Almirón,py PAR,29.0,FW,Newcastle Utd
Pontus Almqvist,se SWE,24.0,"FW,MF",Lecce
Marcos Alonso,es ESP,32.0,DF,Barcelona
Adrià Altimira,es ESP,22.0,"DF,MF",Villarreal
Sergi Altimira,es ESP,21.0,MF,Betis
Edson Álvarez,mx MEX,25.0,MF,West Ham
Gastón Álvarez,uy URU,23.0,DF,Getafe
Hugo Álvarez,es ESP,20.0,"MF,DF",Celta Vigo
Julián Álvarez,ar ARG,23.0,"MF,FW",Manchester City
Yeray Álvarez,es ESP,28.0,DF,Athletic Club
Skelly Alvero,fr FRA,21.0,MF,Lyon
Skelly Alvero,fr FRA,21.0,MF,Werder Bremen
Papa Amadou Diallo,sn SEN,19.0,FW,Metz
Selim Amallah,ma MAR,26.0,"FW,MF",Valencia
Amath,sn SEN,27.0,"FW,MF",Mallorca
