Squad,Comp
Bournemouth,eng Premier League
Union Berlin,de Bundesliga
Eint Frankfurt,de Bundesliga
Marseille,fr Ligue 1
Reims,fr Ligue 1
Lens,fr Ligue 1
Getafe,es La Liga
Lorient,fr Ligue 1
Nantes,fr Ligue 1
Betis,es La Liga
Toulouse,fr Ligue 1
Alavés,es La Liga
Roma,it Serie A
Inter,it Serie A
Chelsea,eng Premier League
Sevilla,es La Liga
Sheffield Utd,eng Premier League
Montpellier,fr Ligue 1
Freiburg,de Bundesliga
Köln,de Bundesliga
Fulham,eng Premier League
Luton Town,eng Premier League
Dortmund,de Bundesliga
Brighton,eng Premier League
Leverkusen,de Bundesliga
Milan,it Serie A
Lyon,fr Ligue 1
Bologna,it Serie A
Athletic Club,es La Liga
Werder Bremen,de Bundesliga
West Ham,eng Premier League
Nott'ham Forest,eng Premier League
Crystal Palace,eng Premier League
Celta Vigo,es La Liga
Wolves,eng Premier League
Brentford,eng Premier League
Mainz 05,de Bundesliga
Manchester City,eng Premier League
Udinese,it Serie A
Villarreal,es La Liga
Almería,es La Liga
Monaco,fr Ligue 1
Monza,it Serie A
Genoa,it Serie A
Hoffenheim,de Bundesliga
Real Madrid,es La Liga
Lazio,it Serie A
Liverpool,eng Premier League
Juventus,it Serie A
Cádiz,es La Liga
Strasbourg,fr Ligue 1
Real Sociedad,es La Liga
Nice,fr Ligue 1
Le Havre,fr Ligue 1
Clermont Foot,fr Ligue 1
Valencia,es La Liga
Newcastle Utd,eng Premier League
Lecce,it Serie A
Barcelona,es La Liga
Metz,fr Ligue 1
Mallorca,es La Liga
Fiorentina,it Serie A
Brest,fr Ligue 1
Burnley,eng Premier League
Hellas Verona,it Serie A
Wolfsburg,de Bundesliga
Manchester Utd,eng Premier League
Lille,fr Ligue 1
Granada,es La Liga
Stuttgart,de Bundesliga
Bochum,de Bundesliga
Darmstadt 98,de Bundesliga
Las Palmas,es La Liga
Aston Villa,eng Premier League
Osasuna,es La Liga
Cagliari,it Serie A
Paris S-G,fr Ligue 1
Bayern Munich,de Bundesliga
Rennes,fr Ligue 1
Atlético Madrid,es La Liga
Frosinone,it Serie A
Sassuolo,it Serie A
Atalanta,it Serie A
Empoli,it Serie A
Rayo Vallecano,es La Liga
Salernitana,it Serie A
Augsburg,de Bundesliga
RB Leipzig,de Bundesliga
Heidenheim,de Bundesliga
Torino,it Serie A
Tottenham,eng Premier League
Everton,eng Premier League
Girona,es La Liga
Gladbach,de Bundesliga
Napoli,it Serie A
Arsenal,eng Premier League
